"","log2FoldChange","padj","Factor"
"KXJ04841.1",2.87149419429149,4.53837291961552e-16,"Intercept"
"KXJ04842.1",7.08334055621607,2.15560981207889e-227,"Intercept"
"KXJ04844.1",2.31039824087057,5.90902768698758e-11,"Intercept"
"KXJ04845.1",6.51292865446658,7.56326513343203e-167,"Intercept"
"KXJ04849.1",3.58002134199583,0.000154340264912611,"Intercept"
"KXJ04850.1",3.35274454972648,5.13586127188438e-36,"Intercept"
"KXJ04851.1",4.22914944211155,8.19828388686889e-25,"Intercept"
"KXJ04852.1",1.28355003576983,0.0423057222086342,"Intercept"
"KXJ04853.1",1.47348540465588,0.00609542393540488,"Intercept"
"KXJ04854.1",3.25561047571393,4.34284024197719e-16,"Intercept"
"KXJ04857.1",1.92753219335023,0.000666204438697705,"Intercept"
"KXJ04861.1",2.24892291736005,0.00157406886245629,"Intercept"
"KXJ04862.1",5.06081229978513,7.73692023314775e-37,"Intercept"
"KXJ04864.1",4.25719658128971,5.26646570752651e-85,"Intercept"
"KXJ04865.1",2.2893961210942,3.00160967483201e-06,"Intercept"
"KXJ04866.1",7.48576165269643,0,"Intercept"
"KXJ04867.1",3.44641687311505,3.31515361594181e-23,"Intercept"
