"id","ko"
"ko00760","K00763"
"ko00760","K03783"
"ko00760","K03784"
"ko00760","K10524"
"ko00760","K06211"
"ko00760","K01081"
"ko00760","K19970"
"ko00760","K11751"
"ko00760","K03787"
"ko00760","K08723"
"ko00760","K20881"
"ko00760","K08693"
"ko00760","K18550"
"ko00760","K18551"
"ko00760","K01240"
"ko00760","K06210"
"ko00760","K19785"
"ko00760","K00952"
"ko00760","K13522"
"ko00760","K00969"
"ko00760","K01513"
"ko00760","K04765"
"ko00760","K03426"
"ko00760","K01916"
"ko00760","K01950"
"ko00760","K03742"
"ko00760","K03743"
"ko00760","K01239"
"ko00760","K01440"
"ko00760","K08281"
"ko00760","K03462"
"ko00760","K18153"
"ko00760","K19980"
"ko00760","K01242"
"ko00760","K18152"
"ko00760","K11121"
"ko00760","K00858"
"ko00760","K00322"
"ko00760","K00323"
"ko00760","K00324"
"ko00760","K00325"
"ko00760","K00541"
"ko00760","K00157"
"ko00760","K18029"
"ko00760","K18030"
"ko00760","K20445"
"ko00760","K20446"
"ko00760","K20447"
"ko00760","K20448"
"ko00760","K14974"
"ko00760","K18028"
"ko00760","K15357"
"ko00760","K13995"
"ko00760","K01799"
"ko00760","K20449"
"ko00760","K15358"
"ko00760","K19647"
"ko00760","K20450"
"ko00760","K20451"
"ko00760","K20452"
"ko00760","K20453"
"ko00760","K20454"
"ko00760","K19818"
"ko00760","K19819"
"ko00760","K19820"
"ko00760","K19826"
"ko00760","K19890"
"ko00760","K20170"
"ko00760","K20169"
"ko00760","K20158"
"ko00760","K19700"
"ko00760","K20171"
"ko00760","K20172"
"ko00760","K15359"
"ko00760","K18276"
"ko00760","K00135"
"ko00760","K08324"
"ko00760","K19185"
"ko00760","K19186"
"ko00760","K19187"
"ko00760","K19188"
"ko00760","K19189"
"ko00760","K19190"
"ko00760","K19191"
"ko00760","K20155"
"ko04721","K15015"
"ko04721","K08155"
"ko04721","K14636"
"ko04721","K12302"
"ko04721","K15290"
"ko04721","K13504"
"ko04721","K07882"
"ko04721","K15291"
"ko04721","K04560"
"ko04721","K08486"
"ko04721","K15292"
"ko04721","K15293"
"ko04721","K18211"
"ko04721","K15294"
"ko04721","K15295"
"ko04721","K04344"
"ko04721","K04849"
"ko04721","K06027"
"ko04721","K15296"
"ko04721","K01528"
"ko04721","K04644"
"ko04721","K04645"
"ko04721","K04646"
"ko04721","K11824"
"ko04721","K11825"
"ko04721","K11826"
"ko04721","K11827"
"ko04721","K02145"
"ko04721","K02147"
"ko04721","K02148"
"ko04721","K02149"
"ko04721","K02150"
"ko04721","K02151"
"ko04721","K02152"
"ko04721","K02153"
"ko04721","K02154"
"ko04721","K02146"
"ko04721","K02144"
"ko04721","K02155"
"ko04721","K03661"
"ko04514","K06492"
"ko04514","K06449"
"ko04514","K05412"
"ko04514","K06745"
"ko04514","K06470"
"ko04514","K05413"
"ko04514","K06538"
"ko04514","K06710"
"ko04514","K06713"
"ko04514","K06752"
"ko04514","K10784"
"ko04514","K10785"
"ko04514","K06454"
"ko04514","K06751"
"ko04514","K06458"
"ko04514","K06459"
"ko04514","K06708"
"ko04514","K06746"
"ko04514","K06747"
"ko04514","K06744"
"ko04514","K03160"
"ko04514","K03161"
"ko04514","K06547"
"ko04514","K06456"
"ko04514","K06539"
"ko04514","K06567"
"ko04514","K06531"
"ko04514","K16350"
"ko04514","K05718"
"ko04514","K06464"
"ko04514","K06490"
"ko04514","K06523"
"ko04514","K06486"
"ko04514","K06467"
"ko04514","K06478"
"ko04514","K06548"
"ko04514","K06477"
"ko04514","K06592"
"ko04514","K06087"
"ko04514","K06088"
"ko04514","K06089"
"ko04514","K06735"
"ko04514","K06785"
"ko04514","K06787"
"ko04514","K06533"
"ko04514","K06471"
"ko04514","K06520"
"ko04514","K06461"
"ko04514","K06544"
"ko04514","K06496"
"ko04514","K06483"
"ko04514","K05719"
"ko04514","K06585"
"ko04514","K06527"
"ko04514","K06590"
"ko04514","K06779"
"ko04514","K06495"
"ko04514","K06815"
"ko04514","K06474"
"ko04514","K06816"
"ko04514","K06494"
"ko04514","K06081"
"ko04514","K06736"
"ko04514","K06491"
"ko04514","K06550"
"ko04514","K06781"
"ko04514","K06775"
"ko04514","K07522"
"ko04514","K07523"
